t_host_s,seq,base_us,idx,ax,ay,az,t_dev_us
1762339442.515764,5938,1154716796,1,-477,2311,37,1154717996
1762339442.515764,5938,1154716796,2,-587,2358,209,1154719196
1762339442.515764,5938,1154716796,3,-776,2431,433,1154720397
1762339442.515764,5938,1154716796,4,-546,2549,519,1154721597
1762339442.515764,5938,1154716796,5,-802,2560,831,1154722798
1762339442.515764,5938,1154716796,6,-938,2621,976,1154723998
1762339442.515764,5938,1154716796,7,-1124,2803,1185,1154725199
1762339442.515764,5938,1154716796,8,-1219,3010,1251,1154726399
1762339442.515764,5938,1154716796,9,-1231,3204,1342,1154727600
1762339442.515764,5938,1154716796,10,-1301,3352,1407,1154728800
1762339442.515764,5938,1154716796,11,-1402,3624,1385,1154730001
1762339442.515764,5938,1154716796,12,-1570,3881,1452,1154731201
1762339442.515764,5938,1154716796,13,-1534,4031,1487,1154732402
1762339442.515764,5938,1154716796,14,-1775,4267,1585,1154733602
1762339442.515764,5938,1154716796,15,-1800,4576,1589,1154734803
1762339442.515764,5938,1154716796,16,-1861,4666,1633,1154736003
1762339442.515764,5938,1154716796,17,-1867,4949,1920,1154737204
1762339442.515764,5938,1154716796,18,-2012,5148,2042,1154738404
1762339442.515764,5938,1154716796,19,-2020,5351,2396,1154739605
1762339442.516240,5939,1154755859,0,-2179,5491,2689,1154755859
1762339442.516240,5939,1154755859,1,-2125,5741,3069,1154757059
1762339442.516240,5939,1154755859,2,-2236,5960,3229,1154758259
1762339442.516240,5939,1154755859,3,-2205,6280,3572,1154759460
1762339442.516240,5939,1154755859,4,-2255,6297,3951,1154760660
1762339442.516240,5939,1154755859,5,-2277,6590,4117,1154761861
1762339442.516240,5939,1154755859,6,-2311,6899,4501,1154763061
1762339442.516240,5939,1154755859,7,-2199,7039,4816,1154764262
1762339442.516240,5939,1154755859,8,-2186,7330,5324,1154765462
1762339442.516240,5939,1154755859,9,-2163,7646,5463,1154766663
1762339442.516240,5939,1154755859,10,-2055,7774,5836,1154767863
1762339442.516240,5939,1154755859,11,-2009,8061,6213,1154769064
1762339442.516240,5939,1154755859,12,-1967,8356,6404,1154770264
1762339442.516240,5939,1154755859,13,-1938,8735,6693,1154771465
1762339442.516240,5939,1154755859,14,-1975,8885,6992,1154772665
1762339442.516240,5939,1154755859,15,-1922,9294,7364,1154773866
1762339442.516240,5939,1154755859,16,-1914,9662,7359,1154775066
1762339442.516240,5939,1154755859,17,-1870,9894,7478,1154776267
1762339442.516240,5939,1154755859,18,-1817,10156,7623,1154777467
1762339442.516240,5939,1154755859,19,-1850,10380,7687,1154778668
1762339442.516481,5940,1154794921,0,-1877,10447,7820,1154794921
1762339442.516481,5940,1154794921,1,-1791,10526,7838,1154796121
1762339442.516481,5940,1154794921,2,-1736,10557,7920,1154797321
1762339442.516481,5940,1154794921,3,-1678,10533,7997,1154798522
1762339442.516481,5940,1154794921,4,-1624,10538,8070,1154799722
1762339442.516481,5940,1154794921,5,-1662,10474,8255,1154800923
1762339442.516481,5940,1154794921,6,-1639,10360,8369,1154802123
1762339442.516481,5940,1154794921,7,-1651,9991,8592,1154803324
1762339442.516481,5940,1154794921,8,-1699,9908,8764,1154804524
1762339442.516481,5940,1154794921,9,-1998,9464,8792,1154805725
1762339442.516481,5940,1154794921,10,-2051,8917,8722,1154806925
1762339442.516481,5940,1154794921,11,-1848,8577,8430,1154808126
1762339442.516481,5940,1154794921,12,-1674,8021,8119,1154809326
1762339442.516481,5940,1154794921,13,-1664,7575,8027,1154810527
1762339442.516481,5940,1154794921,14,-1678,7414,7810,1154811727
1762339442.516481,5940,1154794921,15,-1736,7219,7591,1154812928
1762339442.516481,5940,1154794921,16,-1727,7068,7458,1154814128
1762339442.516481,5940,1154794921,17,-1728,6848,7293,1154815329
1762339442.516481,5940,1154794921,18,-1619,6751,7084,1154816529
1762339442.516481,5940,1154794921,19,-1589,6483,6958,1154817730
1762339442.516725,5941,1154833984,0,-1647,6137,6909,1154833984
1762339442.516725,5941,1154833984,1,-1605,5892,6759,1154835184
1762339442.516725,5941,1154833984,2,-1628,5806,6580,1154836384
1762339442.516725,5941,1154833984,3,-1735,5550,6471,1154837585
1762339442.516725,5941,1154833984,4,-1582,5384,6078,1154838785
1762339442.516725,5941,1154833984,5,-1548,5276,5727,1154839986
1762339442.516725,5941,1154833984,6,-1452,5048,5564,1154841186
1762339442.516725,5941,1154833984,7,-1539,4793,5229,1154842387
1762339442.516725,5941,1154833984,8,-1437,4691,4866,1154843587
1762339442.516725,5941,1154833984,9,-1561,4493,4441,1154844788
1762339442.516725,5941,1154833984,10,-1500,4330,4212,1154845988
1762339442.516725,5941,1154833984,11,-1444,4274,3771,1154847189
1762339442.516725,5941,1154833984,12,-1488,4196,3445,1154848389
1762339442.516725,5941,1154833984,13,-1525,4063,3005,1154849590
1762339442.516725,5941,1154833984,14,-1509,3964,2911,1154850790
1762339442.516725,5941,1154833984,15,-1412,3890,2598,1154851991
1762339442.516725,5941,1154833984,16,-1376,3759,2314,1154853191
1762339442.516725,5941,1154833984,17,-1386,3492,2216,1154854392
1762339442.516725,5941,1154833984,18,-1308,3222,1991,1154855592
1762339442.516725,5941,1154833984,19,-1178,3075,1843,1154856793
1762339442.516948,5942,1154873046,0,-1143,2778,1587,1154873046
1762339442.516948,5942,1154873046,1,-1253,2530,1700,1154874246
1762339442.516948,5942,1154873046,2,-1233,2507,1498,1154875446
1762339442.516948,5942,1154873046,3,-1096,2377,1285,1154876647
1762339442.516948,5942,1154873046,4,-1090,2303,1215,1154877847
1762339442.516948,5942,1154873046,5,-1079,2272,981,1154879048
1762339442.516948,5942,1154873046,6,-1077,2240,664,1154880248
1762339442.516948,5942,1154873046,7,-1011,2188,304,1154881449
1762339442.516948,5942,1154873046,8,-885,2099,272,1154882649
1762339442.516948,5942,1154873046,9,-865,2063,47,1154883850
1762339442.516948,5942,1154873046,10,-735,1928,-164,1154885050
1762339442.516948,5942,1154873046,11,-661,1849,-196,1154886251
1762339442.516948,5942,1154873046,12,-583,1772,-308,1154887451
1762339442.516948,5942,1154873046,13,-478,1689,-369,1154888652
1762339442.516948,5942,1154873046,14,-470,1562,-395,1154889852
1762339442.516948,5942,1154873046,15,-435,1474,-454,1154891053
1762339442.516948,5942,1154873046,16,-273,1459,-607,1154892253
1762339442.516948,5942,1154873046,17,-150,1421,-732,1154893454
1762339442.516948,5942,1154873046,18,-94,1400,-822,1154894654
1762339442.516948,5942,1154873046,19,-23,1367,-946,1154895855
1762339442.517169,5943,1154912109,0,55,1287,-1201,1154912109
1762339442.517169,5943,1154912109,1,95,1289,-1301,1154913309
1762339442.517169,5943,1154912109,2,196,1268,-1542,1154914509
1762339442.517169,5943,1154912109,3,289,1229,-1763,1154915710
1762339442.517169,5943,1154912109,4,350,1172,-1942,1154916910
1762339442.517169,5943,1154912109,5,396,1084,-2027,1154918111
1762339442.517169,5943,1154912109,6,434,1048,-2231,1154919311
1762339442.517169,5943,1154912109,7,587,947,-2405,1154920512
1762339442.517169,5943,1154912109,8,647,870,-2485,1154921712
1762339442.517169,5943,1154912109,9,729,741,-2590,1154922913
1762339442.517169,5943,1154912109,10,811,705,-2719,1154924113
1762339442.517169,5943,1154912109,11,835,621,-2751,1154925314
1762339442.517169,5943,1154912109,12,863,557,-2839,1154926514
1762339442.517169,5943,1154912109,13,978,506,-2945,1154927715
1762339442.517169,5943,1154912109,14,1063,425,-3000,1154928915
1762339442.517169,5943,1154912109,15,1112,357,-3045,1154930116
1762339442.517169,5943,1154912109,16,1157,351,-3105,1154931316
1762339442.517169,5943,1154912109,17,1178,320,-3117,1154932517
1762339442.517169,5943,1154912109,18,1225,327,-3137,1154933717
1762339442.517169,5943,1154912109,19,1312,310,-3120,1154934918
1762339442.517407,5944,1154951171,0,1386,323,-3005,1154951171
1762339442.517407,5944,1154951171,1,1644,260,-2848,1154952371
1762339442.517407,5944,1154951171,2,1657,307,-2714,1154953571
1762339442.517407,5944,1154951171,3,1566,394,-2292,1154954772
1762339442.517407,5944,1154951171,4,1599,476,-1956,1154955972
1762339442.517407,5944,1154951171,5,1644,604,-1557,1154957173
1762339442.517407,5944,1154951171,6,1698,741,-1567,1154958373
1762339442.517407,5944,1154951171,7,1733,787,-1411,1154959574
1762339442.517407,5944,1154951171,8,1750,852,-1293,1154960774
1762339442.517407,5944,1154951171,9,1766,872,-1243,1154961975
1762339442.517407,5944,1154951171,10,1814,846,-1159,1154963175
1762339442.517407,5944,1154951171,11,1894,823,-1022,1154964376
1762339442.517407,5944,1154951171,12,1890,706,-906,1154965576
1762339442.517407,5944,1154951171,13,1911,555,-650,1154966777
1762339442.517407,5944,1154951171,14,1922,488,-382,1154967977
1762339442.517407,5944,1154951171,15,1867,354,-217,1154969178
1762339442.517407,5944,1154951171,16,1853,245,-163,1154970378
1762339442.517407,5944,1154951171,17,1823,9,-276,1154971579
1762339442.517407,5944,1154951171,18,1805,107,-393,1154972779
1762339442.517407,5944,1154951171,19,1853,107,-489,1154973980
1762339442.543783,5945,1154990234,0,1818,155,-589,1154990234
1762339442.543783,5945,1154990234,1,1786,221,-628,1154991434
1762339442.543783,5945,1154990234,2,1763,405,-693,1154992634
1762339442.543783,5945,1154990234,3,1762,509,-704,1154993835
1762339442.543783,5945,1154990234,4,1749,586,-721,1154995035
1762339442.543783,5945,1154990234,5,1687,667,-677,1154996236
1762339442.543783,5945,1154990234,6,1657,653,-649,1154997436
1762339442.543783,5945,1154990234,7,1649,686,-652,1154998637
1762339442.543783,5945,1154990234,8,1503,708,-584,1154999837
1762339442.543783,5945,1154990234,9,1439,739,-540,1155001038
1762339442.543783,5945,1154990234,10,1400,764,-599,1155002238
1762339442.543783,5945,1154990234,11,1401,771,-590,1155003439
1762339442.543783,5945,1154990234,12,1355,749,-511,1155004639
1762339442.543783,5945,1154990234,13,1346,717,-500,1155005840
1762339442.543783,5945,1154990234,14,1346,688,-411,1155007040
1762339442.543783,5945,1154990234,15,1286,709,-345,1155008241
1762339442.543783,5945,1154990234,16,1224,695,-281,1155009441
1762339442.543783,5945,1154990234,17,1175,705,-273,1155010642
1762339442.543783,5945,1154990234,18,1098,725,-315,1155011842
1762339442.543783,5945,1154990234,19,1025,725,-206,1155013043
1762339442.829921,5946,1155029296,0,919,624,-179,1155029296
1762339442.829921,5946,1155029296,1,777,615,-194,1155030496
1762339442.829921,5946,1155029296,2,715,642,-147,1155031696
1762339442.829921,5946,1155029296,3,618,599,-96,1155032897
1762339442.829921,5946,1155029296,4,513,701,-93,1155034097
1762339442.829921,5946,1155029296,5,437,707,-123,1155035298
1762339442.829921,5946,1155029296,6,246,822,-58,1155036498
1762339442.829921,5946,1155029296,7,171,946,-72,1155037699
1762339442.829921,5946,1155029296,8,-21,1278,-128,1155038899
1762339442.829921,5946,1155029296,9,-147,1192,-118,1155040100
1762339442.829921,5946,1155029296,10,-286,1338,-142,1155041300
1762339442.829921,5946,1155029296,11,-325,1483,-83,1155042501
1762339442.829921,5946,1155029296,12,-433,1601,26,1155043701
1762339442.829921,5946,1155029296,13,-571,1760,108,1155044902
1762339442.829921,5946,1155029296,14,-590,2014,268,1155046102
1762339442.829921,5946,1155029296,15,-832,1989,664,1155047303
1762339442.829921,5946,1155029296,16,-861,1994,810,1155048503
1762339442.829921,5946,1155029296,17,-1176,2072,1037,1155049704
1762339442.829921,5946,1155029296,18,-1063,2107,1409,1155050904
1762339442.829921,5946,1155029296,19,-1215,2119,1777,1155052105
1762339442.830415,5947,1155068359,0,-1226,2262,2219,1155068359
1762339442.830415,5947,1155068359,1,-1378,2370,2418,1155069559
1762339442.830415,5947,1155068359,2,-1377,2742,2739,1155070759
1762339442.830415,5947,1155068359,3,-1511,2671,3157,1155071960
1762339442.830415,5947,1155068359,4,-1546,3012,3250,1155073160
1762339442.830415,5947,1155068359,5,-1831,3280,3552,1155074361
1762339442.830415,5947,1155068359,6,-1883,3559,3613,1155075561
1762339442.830415,5947,1155068359,7,-1909,3956,3666,1155076762
1762339442.830415,5947,1155068359,8,-2021,4358,3668,1155077962
1762339442.830415,5947,1155068359,9,-2155,4582,3658,1155079163
1762339442.830415,5947,1155068359,10,-2193,4994,3530,1155080363
1762339442.830415,5947,1155068359,11,-2122,5567,3521,1155081564
1762339442.830415,5947,1155068359,12,-2308,5983,3674,1155082764
1762339442.830415,5947,1155068359,13,-2465,6165,3819,1155083965
1762339442.830415,5947,1155068359,14,-2557,6661,3878,1155085165
1762339442.830415,5947,1155068359,15,-2556,7044,4207,1155086366
1762339442.830415,5947,1155068359,16,-2467,7356,4490,1155087566
1762339442.830415,5947,1155068359,17,-2458,7770,5039,1155088767
1762339442.830415,5947,1155068359,18,-2449,8181,5207,1155089967
1762339442.830415,5947,1155068359,19,-2532,8515,5774,1155091168
1762339442.830704,5948,1155107421,0,-2406,8786,6201,1155107421
1762339442.830704,5948,1155107421,1,-2062,9201,6725,1155108621
1762339442.830704,5948,1155107421,2,-2218,9625,7037,1155109821
1762339442.830704,5948,1155107421,3,-2206,9882,7537,1155111022
1762339442.830704,5948,1155107421,4,-2107,10319,7969,1155112222
1762339442.830704,5948,1155107421,5,-2019,10700,8204,1155113423
1762339442.830704,5948,1155107421,6,-1901,11018,8625,1155114623
1762339442.830704,5948,1155107421,7,-1749,11131,9026,1155115824
1762339442.830704,5948,1155107421,8,-1708,11324,9218,1155117024
1762339442.830704,5948,1155107421,9,-1573,11472,9508,1155118225
1762339442.830704,5948,1155107421,10,-1440,11484,9786,1155119425
1762339442.830704,5948,1155107421,11,-1306,11456,9976,1155120626
1762339442.830704,5948,1155107421,12,-1285,11364,10006,1155121826
1762339442.830704,5948,1155107421,13,-1205,11029,10007,1155123027
1762339442.830704,5948,1155107421,14,-1226,11077,9903,1155124227
1762339442.830704,5948,1155107421,15,-1026,10785,9807,1155125428
1762339442.830704,5948,1155107421,16,-1123,10244,9430,1155126628
1762339442.830704,5948,1155107421,17,-960,9879,8700,1155127829
1762339442.830704,5948,1155107421,18,-977,9126,7984,1155129029
1762339442.830704,5948,1155107421,19,-983,8607,7611,1155130230
1762339442.830937,5949,1155146484,0,-962,8179,7044,1155146484
1762339442.830937,5949,1155146484,1,-989,8003,6723,1155147684
1762339442.830937,5949,1155146484,2,-1074,7562,6262,1155148884
1762339442.830937,5949,1155146484,3,-988,7119,6279,1155150085
1762339442.830937,5949,1155146484,4,-1152,6854,6256,1155151285
1762339442.830937,5949,1155146484,5,-1188,6396,6237,1155152486
1762339442.830937,5949,1155146484,6,-1334,6003,6230,1155153686
1762339442.830937,5949,1155146484,7,-1421,5813,6125,1155154887
1762339442.830937,5949,1155146484,8,-1405,5613,5937,1155156087
1762339442.830937,5949,1155146484,9,-1411,5425,5827,1155157288
1762339442.830937,5949,1155146484,10,-1548,5181,5637,1155158488
1762339442.830937,5949,1155146484,11,-1538,5229,5401,1155159689
1762339442.830937,5949,1155146484,12,-1680,5104,5282,1155160889
1762339442.830937,5949,1155146484,13,-1663,5059,5008,1155162090
1762339442.830937,5949,1155146484,14,-1658,5057,4666,1155163290
1762339442.830937,5949,1155146484,15,-1697,4987,4370,1155164491
1762339442.830937,5949,1155146484,16,-1714,4893,4221,1155165691
1762339442.830937,5949,1155146484,17,-1736,4798,3886,1155166892
1762339442.830937,5949,1155146484,18,-1632,4728,3626,1155168092
1762339442.830937,5949,1155146484,19,-1651,4671,3488,1155169293
1762339442.831162,5950,1155185546,0,-1587,4591,3310,1155185546
1762339442.831162,5950,1155185546,1,-1591,4592,3131,1155186746
1762339442.831162,5950,1155185546,2,-1513,4546,2970,1155187946
1762339442.831162,5950,1155185546,3,-1483,4533,2863,1155189147
1762339442.831162,5950,1155185546,4,-1398,4605,2711,1155190347
1762339442.831162,5950,1155185546,5,-1413,4602,2577,1155191548
1762339442.831162,5950,1155185546,6,-1341,4646,2307,1155192748
1762339442.831162,5950,1155185546,7,-1281,4678,2337,1155193949
1762339442.831162,5950,1155185546,8,-1236,4722,2178,1155195149
1762339442.831162,5950,1155185546,9,-1164,4689,2074,1155196350
1762339442.831162,5950,1155185546,10,-1246,4655,1976,1155197550
1762339442.831162,5950,1155185546,11,-1082,4598,1856,1155198751
1762339442.831162,5950,1155185546,12,-1034,4552,1760,1155199951
1762339442.831162,5950,1155185546,13,-1275,4429,1730,1155201152
1762339442.831162,5950,1155185546,14,-993,4339,1559,1155202352
1762339442.831162,5950,1155185546,15,-927,4271,1424,1155203553
1762339442.831162,5950,1155185546,16,-875,4127,1201,1155204753
1762339442.831162,5950,1155185546,17,-868,3936,1089,1155205954
1762339442.831162,5950,1155185546,18,-781,3588,854,1155207154
1762339442.831162,5950,1155185546,19,-860,3671,628,1155208355
1762339442.831379,5951,1155224609,0,-569,3398,511,1155224609
1762339442.831379,5951,1155224609,1,-669,3263,131,1155225809
1762339442.831379,5951,1155224609,2,-692,3111,-152,1155227009
1762339442.831379,5951,1155224609,3,-684,2913,-463,1155228210
1762339442.831379,5951,1155224609,4,-638,2736,-655,1155229410
1762339442.831379,5951,1155224609,5,-586,2376,-948,1155230611
1762339442.831379,5951,1155224609,6,-618,2377,-1216,1155231811
1762339442.831379,5951,1155224609,7,-497,2146,-1380,1155233012
1762339442.831379,5951,1155224609,8,-398,1924,-1672,1155234212
1762339442.831379,5951,1155224609,9,-405,1801,-1923,1155235413
1762339442.831379,5951,1155224609,10,-305,1573,-2161,1155236613
1762339442.831379,5951,1155224609,11,-280,1437,-2270,1155237814
1762339442.831379,5951,1155224609,12,-210,1296,-2440,1155239014
1762339442.831379,5951,1155224609,13,-69,1130,-2635,1155240215
1762339442.831379,5951,1155224609,14,-69,1003,-2713,1155241415
1762339442.831379,5951,1155224609,15,-18,890,-2869,1155242616
1762339442.831379,5951,1155224609,16,138,831,-3019,1155243816
1762339442.831379,5951,1155224609,17,234,729,-3320,1155245017
1762339442.831379,5951,1155224609,18,284,677,-3209,1155246217
1762339442.831379,5951,1155224609,19,292,666,-3291,1155247418
1762339442.831603,5952,1155263671,0,429,601,-3407,1155263671
1762339442.831603,5952,1155263671,1,489,608,-3430,1155264871
1762339442.831603,5952,1155263671,2,570,618,-3438,1155266071
1762339442.831603,5952,1155263671,3,632,618,-3393,1155267272
1762339442.831603,5952,1155263671,4,669,615,-3085,1155268472
1762339442.831603,5952,1155263671,5,787,676,-3270,1155269673
1762339442.831603,5952,1155263671,6,806,691,-3159,1155270873
1762339442.831603,5952,1155263671,7,927,743,-3027,1155272074
1762339442.831603,5952,1155263671,8,1107,715,-2919,1155273274
1762339442.831603,5952,1155263671,9,1172,792,-2683,1155274475
1762339442.831603,5952,1155263671,10,1100,843,-2318,1155275675
1762339442.831603,5952,1155263671,11,1136,963,-2179,1155276876
1762339442.831603,5952,1155263671,12,1242,1078,-1945,1155278076
1762339442.831603,5952,1155263671,13,1313,1140,-1757,1155279277
1762339442.831603,5952,1155263671,14,1303,1248,-1578,1155280477
1762339442.831603,5952,1155263671,15,1316,1342,-1548,1155281678
1762339442.831603,5952,1155263671,16,1381,1358,-1437,1155282878
1762339442.831603,5952,1155263671,17,1413,1320,-1338,1155284079
1762339442.831603,5952,1155263671,18,1439,1249,-1289,1155285279
1762339442.831603,5952,1155263671,19,1458,1143,-1199,1155286480
1762339442.857300,5953,1155302734,0,1447,1053,-1062,1155302734
1762339442.857300,5953,1155302734,1,1406,919,-1048,1155303934
1762339442.857300,5953,1155302734,2,1448,744,-1051,1155305134
1762339442.857300,5953,1155302734,3,1378,621,-1113,1155306335
1762339442.857300,5953,1155302734,4,1296,476,-1262,1155307535
1762339442.857300,5953,1155302734,5,1348,368,-1310,1155308736
1762339442.857300,5953,1155302734,6,1323,384,-1363,1155309936
1762339442.857300,5953,1155302734,7,1376,418,-1445,1155311137
1762339442.857300,5953,1155302734,8,1325,577,-1431,1155312337
1762339442.857300,5953,1155302734,9,1381,650,-1387,1155313538
1762339442.857300,5953,1155302734,10,1417,595,-1187,1155314738
1762339442.857300,5953,1155302734,11,1391,722,-1055,1155315939
1762339442.857300,5953,1155302734,12,1370,853,-1024,1155317139
1762339442.857300,5953,1155302734,13,1330,945,-1038,1155318340
1762339442.857300,5953,1155302734,14,1231,936,-1067,1155319540
1762339442.857300,5953,1155302734,15,1254,955,-1145,1155320741
1762339442.857300,5953,1155302734,16,1190,990,-1227,1155321941
1762339442.857300,5953,1155302734,17,1116,977,-1196,1155323142
1762339442.857300,5953,1155302734,18,1023,819,-1059,1155324342
1762339442.857300,5953,1155302734,19,960,610,-998,1155325543
1762339443.182211,5954,1155341796,0,1057,525,-839,1155341796
1762339443.182211,5954,1155341796,1,900,483,-657,1155342996
1762339443.182211,5954,1155341796,2,791,494,-541,1155344196
1762339443.182211,5954,1155341796,3,825,546,-571,1155345397
1762339443.182211,5954,1155341796,4,821,559,-500,1155346597
1762339443.182211,5954,1155341796,5,791,423,-379,1155347798
1762339443.182211,5954,1155341796,6,679,311,-347,1155348998
1762339443.182211,5954,1155341796,7,698,388,-337,1155350199
1762339443.182211,5954,1155341796,8,584,345,-174,1155351399
1762339443.182211,5954,1155341796,9,471,283,-66,1155352600
1762339443.182211,5954,1155341796,10,500,398,-55,1155353800
1762339443.182211,5954,1155341796,11,322,380,94,1155355001
1762339443.182211,5954,1155341796,12,290,465,176,1155356201
1762339443.182211,5954,1155341796,13,185,426,284,1155357402
1762339443.182211,5954,1155341796,14,3,523,278,1155358602
1762339443.182211,5954,1155341796,15,-96,613,411,1155359803
1762339443.182211,5954,1155341796,16,-167,621,499,1155361003
1762339443.182211,5954,1155341796,17,-303,749,610,1155362204
1762339443.182211,5954,1155341796,18,-590,827,678,1155363404
1762339443.182211,5954,1155341796,19,-454,914,686,1155364605
1762339443.182775,5955,1155380859,0,-645,1034,822,1155380859
1762339443.182775,5955,1155380859,1,-790,1077,939,1155382059
1762339443.182775,5955,1155380859,2,-856,1136,1185,1155383259
1762339443.182775,5955,1155380859,3,-1199,1361,1337,1155384460
1762339443.182775,5955,1155380859,4,-1232,1659,1470,1155385660
1762339443.182775,5955,1155380859,5,-1421,1704,1609,1155386861
1762339443.182775,5955,1155380859,6,-1509,1896,1864,1155388061
1762339443.182775,5955,1155380859,7,-1550,2174,1995,1155389262
1762339443.182775,5955,1155380859,8,-1865,2470,2329,1155390462
1762339443.182775,5955,1155380859,9,-1936,2537,2577,1155391663
1762339443.182775,5955,1155380859,10,-2054,2823,2657,1155392863
1762339443.182775,5955,1155380859,11,-2062,3204,2967,1155394064
1762339443.182775,5955,1155380859,12,-2034,3397,3164,1155395264
1762339443.182775,5955,1155380859,13,-2389,3647,3393,1155396465
1762339443.182775,5955,1155380859,14,-2390,3972,3620,1155397665
1762339443.182775,5955,1155380859,15,-2365,4121,3939,1155398866
1762339443.182775,5955,1155380859,16,-2303,4460,4289,1155400066
1762339443.182775,5955,1155380859,17,-2344,4825,4554,1155401267
1762339443.182775,5955,1155380859,18,-2529,5288,4843,1155402467
1762339443.182775,5955,1155380859,19,-2530,5446,5240,1155403668
1762339443.183067,5956,1155419921,0,-2649,5855,5545,1155419921
1762339443.183067,5956,1155419921,1,-2557,6298,5671,1155421121
1762339443.183067,5956,1155419921,2,-2408,6582,6080,1155422321
1762339443.183067,5956,1155419921,3,-2512,7018,6356,1155423522
1762339443.183067,5956,1155419921,4,-2468,7484,6402,1155424722
1762339443.183067,5956,1155419921,5,-2326,8019,6608,1155425923
1762339443.183067,5956,1155419921,6,-2426,8220,6934,1155427123
1762339443.183067,5956,1155419921,7,-2079,8696,7287,1155428324
1762339443.183067,5956,1155419921,8,-2203,9176,7339,1155429524
1762339443.183067,5956,1155419921,9,-2146,9398,7632,1155430725
1762339443.183067,5956,1155419921,10,-2110,9781,7914,1155431925
1762339443.183067,5956,1155419921,11,-2012,10143,8034,1155433126
1762339443.183067,5956,1155419921,12,-1996,10307,8377,1155434326
1762339443.183067,5956,1155419921,13,-2049,10594,8686,1155435527
1762339443.183067,5956,1155419921,14,-1797,10836,8814,1155436727
1762339443.183067,5956,1155419921,15,-1943,11039,9083,1155437928
1762339443.183067,5956,1155419921,16,-1813,11120,9543,1155439128
1762339443.183067,5956,1155419921,17,-1964,11089,9685,1155440329
1762339443.183067,5956,1155419921,18,-1880,11083,9658,1155441529
1762339443.183067,5956,1155419921,19,-1697,11086,9672,1155442730
1762339443.183326,5957,1155458984,0,-1745,11069,9567,1155458984
1762339443.183326,5957,1155458984,1,-1767,11008,9519,1155460184
1762339443.183326,5957,1155458984,2,-1679,10777,9575,1155461384
1762339443.183326,5957,1155458984,3,-1552,10583,9484,1155462585
1762339443.183326,5957,1155458984,4,-1620,10011,9105,1155463785
1762339443.183326,5957,1155458984,5,-1687,9387,8735,1155464986
1762339443.183326,5957,1155458984,6,-1603,8869,8161,1155466186
1762339443.183326,5957,1155458984,7,-1579,8657,7742,1155467387
1762339443.183326,5957,1155458984,8,-1528,8285,7649,1155468587
1762339443.183326,5957,1155458984,9,-1563,7941,7460,1155469788
1762339443.183326,5957,1155458984,10,-1474,7714,7392,1155470988
1762339443.183326,5957,1155458984,11,-1616,7248,7393,1155472189
1762339443.183326,5957,1155458984,12,-1717,6755,7409,1155473389
1762339443.183326,5957,1155458984,13,-1720,6553,7218,1155474590
1762339443.183326,5957,1155458984,14,-1765,6239,7013,1155475790
1762339443.183326,5957,1155458984,15,-1724,5892,6878,1155476991
1762339443.183326,5957,1155458984,16,-1718,5610,6527,1155478191
1762339443.183326,5957,1155458984,17,-1727,5507,6165,1155479392
1762339443.183326,5957,1155458984,18,-1848,5272,5727,1155480592
1762339443.183326,5957,1155458984,19,-1918,5184,5598,1155481793
1762339443.183595,5958,1155498046,0,-1825,5145,5074,1155498046
1762339443.183595,5958,1155498046,1,-1838,5101,4654,1155499246
1762339443.183595,5958,1155498046,2,-1927,5013,4393,1155500446
1762339443.183595,5958,1155498046,3,-1877,5002,3915,1155501647
1762339443.183595,5958,1155498046,4,-1900,4945,3523,1155502847
1762339443.183595,5958,1155498046,5,-1838,4851,3322,1155504048
1762339443.183595,5958,1155498046,6,-1942,4754,3022,1155505248
1762339443.183595,5958,1155498046,7,-1952,4740,2741,1155506449
1762339443.183595,5958,1155498046,8,-1896,4648,2480,1155507649
1762339443.183595,5958,1155498046,9,-1782,4554,2416,1155508850
1762339443.183595,5958,1155498046,10,-1873,4555,2181,1155510050
1762339443.183595,5958,1155498046,11,-1920,4478,2092,1155511251
1762339443.183595,5958,1155498046,12,-1537,4495,2026,1155512451
1762339443.183595,5958,1155498046,13,-1728,4578,1923,1155513652
1762339443.183595,5958,1155498046,14,-1837,4548,1923,1155514852
1762339443.183595,5958,1155498046,15,-1695,4599,1830,1155516053
1762339443.183595,5958,1155498046,16,-1688,4538,1784,1155517253
1762339443.183595,5958,1155498046,17,-1539,4571,1773,1155518454
1762339443.183595,5958,1155498046,18,-1570,4465,1759,1155519654
1762339443.183595,5958,1155498046,19,-1501,4366,1767,1155520855
1762339443.183855,5959,1155537109,0,-1447,4231,1738,1155537109
1762339443.183855,5959,1155537109,1,-1341,4187,1715,1155538309
1762339443.183855,5959,1155537109,2,-1216,4002,1631,1155539509
1762339443.183855,5959,1155537109,3,-1247,3788,1671,1155540710
1762339443.183855,5959,1155537109,4,-1252,3707,1598,1155541910
1762339443.183855,5959,1155537109,5,-1114,3499,1470,1155543111
1762339443.183855,5959,1155537109,6,-1057,3332,1415,1155544311
1762339443.183855,5959,1155537109,7,-1109,3160,1299,1155545512
1762339443.183855,5959,1155537109,8,-962,3037,1025,1155546712
1762339443.183855,5959,1155537109,9,-944,2941,697,1155547913
1762339443.183855,5959,1155537109,10,-973,2799,544,1155549113
1762339443.183855,5959,1155537109,11,-800,2714,192,1155550314
1762339443.183855,5959,1155537109,12,-799,2580,-205,1155551514
