# t,ax,ay,az (t in seconds since start)
0.000000,2589,2791,-1385
0.001200,2575,2791,-1426
0.002401,2563,2809,-1423
0.003601,2567,2798,-1406
0.004802,2530,2791,-1415
0.006002,2557,2800,-1442
0.007203,2550,2791,-1438
0.008403,2552,2782,-1443
0.009604,2559,2784,-1459
0.010804,2567,2789,-1494
0.012005,2570,2776,-1514
0.013205,2556,2755,-1534
0.014406,2611,2755,-1565
0.015606,2637,2731,-1603
0.016807,2666,2715,-1644
0.018007,2666,2695,-1686
0.019208,2668,2683,-1686
0.020408,2678,2684,-1701
0.021609,2693,2701,-1712
0.022809,2709,2707,-1686
0.000156,2729,2690,-1681
0.001356,2733,2692,-1694
0.002557,2739,2698,-1692
0.003757,2766,2704,-1660
0.004958,2760,2718,-1641
0.006158,2760,2728,-1616
0.007358,2767,2743,-1602
0.008559,2750,2747,-1597
0.009759,2747,2749,-1590
0.010960,2746,2756,-1590
0.012160,2722,2739,-1561
0.013361,2719,2760,-1558
0.014561,2727,2767,-1547
0.015762,2722,2755,-1530
0.016962,2722,2758,-1517
0.018163,2711,2721,-1475
0.019363,2704,2716,-1469
0.020564,2690,2683,-1465
0.021764,2710,2677,-1447
0.022965,2679,2666,-1416
0.000240,2692,2651,-1371
0.001440,2694,2635,-1363
0.002641,2670,2632,-1343
0.003841,2661,2629,-1301
0.005042,2666,2601,-1293
0.006242,2652,2602,-1279
0.007443,2637,2593,-1268
0.008643,2660,2617,-1312
0.009844,2656,2604,-1307
0.011044,2657,2631,-1319
0.012244,2680,2650,-1351
0.013445,2695,2643,-1369
0.014645,2703,2672,-1377
0.015846,2696,2683,-1408
0.017046,2706,2711,-1423
0.018247,2706,2723,-1415
0.019447,2717,2738,-1448
0.020648,2735,2746,-1472
0.021848,2723,2771,-1463
0.023049,2729,2797,-1495
0.081680,2742,2800,-1503
0.082880,2728,2819,-1529
0.084081,2732,2820,-1540
0.085281,2742,2855,-1564
0.086482,2737,2858,-1560
0.087682,2745,2861,-1582
0.088883,2732,2867,-1589
0.090083,2735,2867,-1571
0.091284,2740,2854,-1575
0.092484,2754,2838,-1585
0.093685,2740,2828,-1575
0.094885,2748,2795,-1563
0.096086,2761,2789,-1533
0.097286,2750,2758,-1494
0.098487,2746,2748,-1450
0.099687,2771,2720,-1423
0.100888,2744,2714,-1397
0.102088,2742,2699,-1371
0.103289,2743,2682,-1346
0.104489,2740,2688,-1332
0.081850,2706,2668,-1324
0.083051,2732,2664,-1306
0.084251,2726,2666,-1318
0.085452,2746,2641,-1290
0.086652,2742,2645,-1286
0.087853,2753,2637,-1267
0.089053,2762,2653,-1247
0.090254,2751,2645,-1210
0.091454,2740,2652,-1198
0.092655,2678,2668,-1157
0.093855,2657,2686,-1160
0.095056,2618,2686,-1170
0.096256,2605,2748,-1209
0.097457,2593,2750,-1219
0.098657,2605,2774,-1259
0.099858,2618,2798,-1303
0.101058,2629,2823,-1327
0.102259,2640,2822,-1353
0.103459,2651,2837,-1399
0.104660,2647,2842,-1466
0.135285,2638,2842,-1517
0.136485,2629,2851,-1582
0.137686,2623,2852,-1649
0.138886,2650,2844,-1662
0.140087,2647,2845,-1706
0.141287,2632,2842,-1784
0.142488,2672,2859,-1765
0.143688,2675,2841,-1775
0.144889,2671,2839,-1743
0.146089,2687,2832,-1698
0.147290,2694,2819,-1679
0.148490,2692,2787,-1623
0.149691,2710,2789,-1578
0.150891,2726,2773,-1527
0.152092,2722,2772,-1523
0.153292,2725,2733,-1496
0.154492,2727,2739,-1495
0.155693,2725,2718,-1490
0.156893,2730,2719,-1508
0.158094,2749,2724,-1511
0.189260,2748,2697,-1524
0.190460,2760,2697,-1514
0.191660,2746,2683,-1492
0.192861,2775,2668,-1476
0.194061,2767,2667,-1459
0.195262,2785,2666,-1411
0.196462,2771,2667,-1354
0.197663,2785,2682,-1305
0.198863,2767,2684,-1277
0.200064,2774,2692,-1249
0.201264,2746,2692,-1240
0.202465,2746,2731,-1227
0.203665,2725,2728,-1213
0.204866,2733,2740,-1207
0.206066,2723,2753,-1213
0.207267,2686,2745,-1203
0.208467,2694,2738,-1200
0.209668,2685,2749,-1195
0.210868,2686,2734,-1203
0.212069,2685,2757,-1212
0.224222,2681,2736,-1264
0.225423,2672,2750,-1304
0.226623,2660,2750,-1337
0.227824,2671,2764,-1385
0.229024,2688,2780,-1432
0.230225,2684,2804,-1452
0.231425,2680,2820,-1488
0.232626,2694,2820,-1507
0.233826,2724,2819,-1511
0.235027,2723,2824,-1508
0.236227,2730,2826,-1478
0.237427,2739,2820,-1460
0.238628,2738,2844,-1435
0.239828,2742,2857,-1404
0.241029,2725,2841,-1376
0.242229,2724,2884,-1363
0.243430,2721,2896,-1359
0.244630,2721,2900,-1342
0.245831,2705,2923,-1357
0.247031,2679,2949,-1338
0.276303,2663,2941,-1369
0.277504,2659,2933,-1374
0.278704,2655,2919,-1379
0.279905,2668,2882,-1388
0.281105,2668,2852,-1368
0.282306,2681,2834,-1364
0.283506,2708,2783,-1367
0.284707,2682,2758,-1362
0.285907,2697,2717,-1379
0.287108,2686,2679,-1389
0.288308,2705,2653,-1375
0.289508,2712,2641,-1392
0.290709,2710,2629,-1404
0.291909,2711,2604,-1428
0.293110,2722,2601,-1445
0.294310,2715,2593,-1490
0.295511,2704,2587,-1493
0.296711,2702,2599,-1543
0.297912,2702,2606,-1561
0.299112,2691,2607,-1565
0.276470,2704,2612,-1563
0.277670,2696,2616,-1539
0.278871,2696,2641,-1524
0.280071,2701,2652,-1526
0.281272,2681,2662,-1486
0.282472,2680,2673,-1472
0.283673,2684,2707,-1454
0.284873,2676,2737,-1453
0.286074,2663,2740,-1462
0.287274,2684,2775,-1447
0.288475,2670,2806,-1437
0.289675,2670,2832,-1442
0.290876,2683,2835,-1457
0.292076,2681,2860,-1428
0.293277,2689,2867,-1446
0.294477,2697,2872,-1451
0.295678,2676,2884,-1458
0.296878,2681,2872,-1469
0.298079,2659,2861,-1513
0.299279,2653,2857,-1549
0.329551,2669,2851,-1562
0.330752,2658,2821,-1607
0.331952,2697,2822,-1635
0.333152,2717,2819,-1624
0.334353,2711,2824,-1597
0.335553,2738,2833,-1561
0.336754,2742,2836,-1508
0.337954,2739,2844,-1469
0.339155,2722,2857,-1431
0.340355,2713,2866,-1395
0.341556,2723,2878,-1372
0.342756,2724,2892,-1362
0.343957,2742,2905,-1351
0.345157,2739,2917,-1331
0.346358,2731,2883,-1332
0.347558,2715,2904,-1330
0.348759,2721,2902,-1334
0.349959,2710,2904,-1354
0.351160,2709,2915,-1373
0.352360,2710,2917,-1371
0.359110,2692,2891,-1382
0.360311,2700,2882,-1387
0.361511,2712,2860,-1374
0.362711,2682,2842,-1369
0.363912,2666,2798,-1371
0.365112,2663,2748,-1383
0.366313,2634,2727,-1406
0.367513,2629,2676,-1458
0.368714,2618,2634,-1494
0.369914,2631,2603,-1573
0.371115,2621,2590,-1624
0.372315,2632,2555,-1676
0.373516,2637,2542,-1696
0.374716,2620,2530,-1727
0.375917,2638,2528,-1730
0.377117,2636,2519,-1720
0.378318,2628,2544,-1704
0.379518,2659,2535,-1665
0.380719,2666,2553,-1658
0.381919,2672,2567,-1597
0.408431,2679,2571,-1558
0.409631,2700,2591,-1529
0.410832,2704,2617,-1508
0.412032,2708,2636,-1505
0.413232,2719,2660,-1475
0.414433,2721,2686,-1489
0.415633,2741,2754,-1490
0.416834,2757,2761,-1496
0.418034,2760,2834,-1495
0.419235,2780,2876,-1502
0.420435,2800,2908,-1474
0.421636,2800,2931,-1467
0.422836,2798,2971,-1463
0.424037,2792,2981,-1431
