# t,ax,ay,az (t in seconds since start)
0.000000,2704,2064,-1504
0.001200,2712,2089,-1625
0.002401,2876,2141,-1640
0.003601,2815,2072,-1580
0.004802,2775,2188,-1757
0.006002,2750,2189,-1548
0.007203,2618,2208,-1449
0.008403,2659,2313,-1589
0.009604,2796,2319,-1489
0.010804,2802,2341,-1382
0.012005,2781,2451,-1355
0.013205,2767,2493,-1268
0.014406,2765,2785,-1171
0.015606,2795,2601,-1204
0.016807,3064,2659,-1188
0.018007,2844,2700,-1155
0.019208,2820,2739,-1127
0.020408,2784,2805,-1072
0.021609,2800,2859,-1067
0.022809,2876,2897,-998
0.000184,2887,2966,-954
0.001385,2886,3039,-914
0.002585,2859,3077,-853
0.003786,2865,3083,-804
0.004986,2907,3123,-723
0.006187,2907,3096,-713
0.007387,2927,3100,-740
0.008588,2963,3081,-742
0.009788,2978,3025,-697
0.010989,3000,2964,-714
0.012189,3042,2926,-660
0.013390,3042,2866,-667
0.014590,3054,2796,-709
0.015791,3076,2769,-736
0.016991,3046,2711,-702
0.018191,3063,2661,-740
0.019392,3060,2604,-758
0.020592,3028,2575,-775
0.021793,3054,2526,-832
0.022993,3077,2458,-842
0.000269,3079,2434,-908
0.001470,3057,2393,-926
0.002670,3063,2342,-900
0.003871,3001,2340,-921
0.005071,2987,2322,-976
0.006272,2997,2304,-1251
0.007472,2978,2300,-1103
0.008673,2956,2278,-1198
0.009873,2959,2299,-1205
0.011074,2932,2280,-1233
0.012274,2909,2284,-1311
0.013475,2944,2257,-1403
0.014675,2944,2228,-1434
0.015876,2949,2205,-1491
0.017076,2959,2198,-1504
0.018277,2964,2189,-1500
0.019477,2942,2170,-1486
0.020678,2964,2178,-1434
0.021878,2954,2173,-1447
0.023079,2955,2196,-1427
0.084635,2948,2234,-1423
0.085835,2966,2248,-1489
0.087036,2985,2293,-1537
0.088236,2989,2354,-1538
0.089437,2989,2376,-1557
0.090637,3008,2441,-1583
0.091838,3016,2484,-1564
0.093038,3022,2530,-1571
0.094238,3062,2561,-1509
0.095439,3049,2618,-1426
0.096639,3039,2647,-1410
0.097840,3057,2671,-1372
0.099040,3056,2703,-1278
0.100241,3036,2730,-1236
0.101441,3034,2759,-1183
0.102642,3055,2761,-1093
0.103842,3068,2785,-794
0.105043,3067,2782,-959
0.106243,3067,2790,-886
0.107444,3074,2769,-751
0.084802,3095,2767,-686
0.086003,3108,2736,-534
0.087203,3149,2724,-286
0.088404,3175,2724,-154
0.089604,3203,2795,129
0.090805,3199,2791,350
0.092005,3243,2868,524
0.093206,3216,2927,581
0.094406,3235,2964,666
0.095606,3273,3076,790
0.096807,3275,3192,880
0.098007,3287,3300,1120
0.099208,3317,3354,1368
0.100408,3396,3435,1746
0.101609,3418,3457,1973
0.102809,3494,3445,2491
0.104010,3493,3391,3086
0.105210,3526,3327,3390
0.106411,3542,3280,3932
0.107611,3569,3293,4375
0.084881,3558,3325,4795
0.086081,3513,3417,5008
0.087282,3433,3470,5395
0.088482,3350,3637,5678
0.089683,3309,3771,5787
0.090883,3220,3886,5883
0.092084,3093,3924,5741
0.093284,2880,3978,5495
0.094485,2726,3963,5337
0.095685,2457,3929,4928
0.096886,2181,3836,4421
0.098086,2045,3784,4141
0.099287,1815,3678,3492
0.100487,1622,3634,2883
0.101688,1512,3515,2062
0.102888,1485,3416,1958
0.104088,1482,3329,1358
0.105289,1430,3119,787
0.106489,1385,2872,535
0.107690,1216,2582,71
0.137686,1067,2453,-511
0.138887,797,2255,-1044
0.140087,649,2026,-1392
0.141287,326,1928,-1932
0.142488,25,1674,-2524
0.143688,-148,1458,-2847
0.144889,-389,1201,-3609
0.146089,-624,1109,-4440
0.147290,-716,913,-5446
0.148490,-806,733,-5899
0.149691,-818,660,-6799
0.150891,-782,514,-7688
0.152092,-743,407,-8138
0.153292,-641,370,-9063
0.154493,-522,264,-9873
0.155693,-440,188,-10214
0.156894,-306,136,-10851
0.158094,-161,100,-11433
0.159295,-44,30,-11897
