# t,ax,ay,az (t in seconds since start)
0.436113,3243,2125,-2991
0.437314,3560,1943,-1500
0.438514,3688,1883,-1213
0.439715,3721,1737,-1178
0.440915,4348,900,-1516
0.442116,4500,1208,-915
0.443316,4410,815,-557
0.444517,4254,136,-230
0.445717,4219,97,-699
0.423040,3931,-194,-989
0.424240,4079,-371,-1363
0.425441,3990,-411,-1997
0.426641,4015,-497,-2618
0.427842,3932,-474,-2643
0.429042,3899,-71,-2782
0.430243,3857,-66,-3168
0.431443,3824,144,-3293
0.432644,3812,290,-3426
0.433844,3832,365,-3478
0.435045,3879,452,-3121
0.436245,3883,574,-3013
0.437446,3890,658,-2478
0.438646,3885,827,-2010
0.439847,3881,973,-1853
0.441047,3853,1089,-1698
0.442247,3820,1123,-1711
0.443448,3800,1093,-1735
0.444648,3796,972,-1785
0.445849,3748,916,-1812
0.498528,3711,775,-1821
0.499729,3740,750,-1829
0.500929,3719,695,-1794
0.502130,3727,676,-1712
0.503330,3726,644,-1652
0.504531,3711,655,-1422
0.505731,3690,688,-1111
0.506932,3673,750,-760
0.508132,3671,854,-647
0.509333,3703,965,-412
0.510533,3704,1033,-139
0.511734,3759,1211,-76
0.512934,3820,1308,68
0.514134,3865,1363,227
0.515335,3864,1361,353
0.516535,3858,1402,436
0.517736,3844,1457,690
0.518936,3818,1483,935
0.520137,3819,1485,1105
0.521337,3801,1547,1334
0.498654,3806,1565,1484
0.499855,3805,1617,1781
0.501055,3814,1701,1950
0.502256,3857,1779,2403
0.503456,3856,1772,2581
0.504657,4082,1887,2667
0.505857,3837,1937,2932
0.507058,3744,2034,3030
0.508258,3546,1902,3368
0.509459,2812,1186,3420
0.510659,3382,1223,3350
0.511860,3733,1159,3587
0.513060,3872,1167,3580
0.514261,3971,1173,3395
0.515461,4012,1170,3143
0.516661,4017,1249,2749
0.517862,3986,1508,2521
0.519062,3920,1691,1980
0.520263,3827,2109,1399
0.521463,3828,2466,1121
0.538042,3787,2668,661
0.539242,3804,2687,259
0.540443,3842,2557,-139
0.541643,3857,2295,-71
0.542844,3868,2135,-97
0.544044,3854,1791,-42
0.545245,3837,1466,14
0.546445,3806,1234,170
0.547646,3735,1121,349
0.548846,3678,983,1404
0.550046,3542,223,3249
0.551247,3152,-65,7262
0.552447,2752,607,12511
0.553648,3054,3743,13540
0.554848,3698,3368,9261
0.556049,3584,2372,1537
0.557249,3461,1023,-1087
0.558450,3344,1484,-1381
0.559650,3461,1877,-339
0.560851,3806,2059,816
0.581954,3888,2016,1172
0.583154,3951,1967,1881
0.584355,3906,1773,2179
0.585555,3602,1493,2512
0.586756,3813,1153,2361
0.587956,3622,972,1996
0.589157,4578,509,1426
0.590357,4459,772,2265
0.591558,4006,583,1503
0.592758,3793,342,1198
0.593959,4089,543,758
0.595159,3797,609,168
0.596359,3814,640,-152
0.597560,3840,667,-650
0.598760,3900,701,-956
0.599961,3909,322,-1536
0.601161,3952,353,-1815
0.602362,3970,72,-1876
0.603562,4042,-52,-1864
0.604763,4065,-81,-1770
0.603828,4096,-10,-1628
0.605029,4106,162,-1535
0.606229,4095,277,-1396
0.607430,4047,481,-1350
0.608630,4031,713,-1354
0.609831,4050,903,-1452
0.611031,4012,981,-1666
0.612232,3970,1063,-1900
0.613432,3960,944,-2107
