# t,ax,ay,az (t in seconds since start)
0.000000,3501,1564,-761
0.001200,3492,1546,-780
0.002401,3496,1538,-771
0.003601,3490,1514,-781
0.004802,3494,1461,-759
0.006002,3486,1473,-731
0.007203,3486,1466,-699
0.008403,3496,1492,-687
0.009604,3503,1528,-699
0.010804,3518,1563,-711
0.012005,3525,1634,-683
0.013205,3554,1721,-577
0.014406,3556,1747,-462
0.015606,3556,1814,-402
0.016807,3553,1874,-411
0.018007,3579,1929,-400
0.019208,3595,1963,-345
0.020408,3597,1966,-307
0.021609,3611,1982,-277
0.022809,3613,1996,-262
0.000169,3637,1984,-243
0.001369,3627,1948,-243
0.002570,3622,1895,-278
0.003770,3627,1867,-343
0.004971,3618,1827,-372
0.006171,3623,1783,-472
0.007372,3593,1765,-545
0.008572,3565,1711,-629
0.009773,3578,1680,-662
0.010973,3562,1683,-730
0.012174,3547,1671,-776
0.013374,3530,1653,-795
0.014575,3501,1663,-808
0.015775,3496,1667,-805
0.016976,3475,1671,-844
0.018176,3460,1660,-849
0.019376,3453,1662,-877
0.020577,3423,1665,-890
0.021777,3432,1668,-911
0.022978,3415,1691,-949
0.098554,3415,1706,-991
0.099755,3411,1753,-1040
0.100955,3404,1784,-1077
0.102156,3412,1813,-1207
0.103356,3392,1896,-1259
0.104557,3382,1968,-1230
0.105757,3408,2049,-1183
0.106958,3419,2135,-1134
0.108158,3451,2266,-1131
0.109359,3457,2434,-1132
0.110559,3488,2754,-1133
0.111760,3500,2618,-1049
0.112960,3496,2712,-1019
0.114161,3503,2774,-1022
0.115361,3525,2799,-1020
0.116562,3548,2862,-981
0.117762,3564,2918,-951
0.118962,3559,2931,-837
0.120163,3596,2922,-785
0.121363,3574,2859,-769
0.098779,3529,2761,-816
0.099980,3534,2678,-946
0.101180,3505,2521,-1280
0.102381,3485,2336,-1178
0.103581,3465,2243,-1291
0.104782,3458,2091,-1343
0.105982,3444,2004,-1375
0.107182,3422,1965,-1372
0.108383,3394,1960,-1378
0.109583,3374,1988,-1363
0.110784,3368,2004,-1349
0.111984,3362,2029,-1330
0.113185,3350,2055,-1289
0.114385,3353,2058,-1277
0.115586,3330,2045,-1255
0.116786,3365,2019,-1215
0.117987,3340,1969,-1193
0.119187,3354,1919,-1162
0.120388,3376,1897,-1147
0.121588,3377,1862,-1113
0.158536,3360,1856,-1084
0.159737,3385,1844,-1060
0.160937,3403,1844,-1007
0.162138,3414,1865,-973
0.163338,3431,1908,-922
0.164539,3453,1921,-864
0.165739,3463,1949,-826
0.166940,3472,1965,-792
0.168140,3495,1964,-789
0.169341,3501,1951,-769
0.170541,3518,1923,-755
0.171741,3520,1894,-740
0.172942,3518,1876,-769
0.174142,3516,1875,-775
0.175343,3503,1871,-768
0.176543,3507,1871,-788
0.177744,3506,1906,-804
0.178944,3503,1941,-774
0.180145,3512,1993,-738
