# t,ax,ay,az (t in seconds since start)
0.000000,2761,3074,488
0.001200,2764,3079,470
0.002401,2754,3085,480
0.003601,2739,3097,489
0.004802,2753,3088,484
0.006002,2758,3091,491
0.007203,2769,3118,474
0.008403,2750,3106,488
0.009604,2748,3114,490
0.010804,2747,3107,490
0.012005,2754,3093,502
0.013205,2752,3104,489
0.014406,2758,3088,480
0.015606,2758,3075,462
0.016807,2738,3077,459
0.018007,2753,3068,483
0.019208,2748,3064,469
0.020408,2758,3075,472
0.021609,2749,3071,464
0.022809,2754,3077,475
0.068666,2746,3051,496
0.069867,2748,3047,488
0.071067,2747,3048,501
0.072268,2748,3047,494
0.073468,2760,3027,500
0.074669,2759,3040,504
0.075869,2767,3021,520
0.077070,2755,3037,504
0.078270,2760,3023,525
0.079471,2762,3034,522
0.080671,2769,3059,530
0.081872,2773,3084,513
0.083072,2764,3068,527
0.084273,2767,3093,520
0.085473,2767,3098,513
0.086674,2767,3097,525
0.087874,2766,3094,511
0.089075,2766,3082,524
0.090275,2759,3072,518
0.091476,2756,3052,518
0.068814,2768,3053,499
0.070015,2779,3058,505
0.071215,2775,3050,502
0.072416,2775,3050,476
0.073616,2774,3047,478
0.074817,2753,3044,473
0.076017,2757,3024,492
0.077218,2780,3051,490
0.078418,2771,3070,477
0.079619,2780,3091,521
0.080819,2761,3089,537
0.082020,2767,3096,532
0.083220,2769,3078,544
0.084421,2763,3102,534
0.085621,2778,3082,538
0.086822,2775,3067,527
0.088022,2782,2821,527
0.089223,2781,3042,522
0.090423,2761,3050,510
0.091624,2763,3056,519
0.114499,2761,3065,519
0.115699,2756,3047,521
0.116900,2759,3064,524
0.118100,2760,3061,512
0.119300,2780,3064,501
0.120501,2751,3067,494
0.121701,2751,3087,509
0.122902,2768,3088,487
0.124102,2754,3088,494
0.125303,2762,3106,489
0.126503,2757,3089,468
0.127704,2752,3091,463
0.128904,2746,3080,460
0.130105,2770,3084,456
0.131305,2752,3070,459
0.132506,2744,3069,445
0.133706,2767,3075,441
0.134907,2748,3064,453
0.136107,2753,3055,454
0.137308,2765,3054,443
0.159503,2767,3052,434
0.160704,2762,3052,448
0.161904,2772,3050,451
0.163105,2756,3065,446
0.164305,2754,3071,461
0.165506,2766,3063,462
0.166706,2773,3096,471
0.167907,2771,3103,471
0.169107,2766,3109,474
0.170308,2769,3126,465
0.171508,2756,3126,492
0.172708,2745,3129,479
0.173909,2755,3126,466
0.175109,2750,3139,460
0.176310,2756,3134,463
0.177510,2745,3139,451
0.178711,2747,3113,443
0.179911,2754,3096,412
0.181112,2750,3096,419
0.182312,2753,3080,434
0.200715,2760,3068,436
0.201916,2753,3052,432
0.203116,2740,3052,431
0.204317,2756,3034,451
0.205517,2758,3035,469
0.206718,2755,3046,467
0.207918,2750,3040,474
0.209119,2772,3043,475
0.210319,2759,3053,473
0.211520,2767,3067,485
0.212720,2754,3065,485
0.213921,2758,3085,494
0.215121,2759,3075,483
0.216321,2751,3102,487
0.217522,2750,3118,499
0.218722,2742,3127,485
0.219923,2758,3138,490
0.221123,2747,3141,497
0.222324,2759,3143,473
0.223524,2767,3133,488
0.200867,2759,3119,486
0.202067,2764,3115,481
0.203267,2761,3107,460
0.204468,2768,3080,464
0.205668,2749,3083,483
0.206869,2744,3079,480
0.208069,2755,3063,483
0.209270,2772,3056,495
0.210470,2764,3037,500
0.211671,2761,3044,487
0.212871,2766,3038,512
0.214072,2761,3044,501
0.215272,2757,3042,492
0.216473,2760,3050,520
0.217673,2778,3042,506
0.218874,2773,3058,524
0.220074,2768,3067,508
0.221275,2758,3084,515
0.222475,2771,3090,500
0.223676,2770,3100,504
0.242460,2773,3103,485
0.243660,2757,3097,488
0.244861,2762,3106,486
0.246061,2759,3108,468
0.247262,2751,3099,481
0.248462,2763,3102,470
0.249663,2757,3094,438
0.250863,2762,3086,464
0.252064,2756,3070,461
0.253264,2760,3068,468
0.254465,2762,3068,462
0.255665,2758,3070,445
0.256866,2756,3059,460
0.258066,2768,3063,457
0.259267,2765,3054,445
0.260467,2761,3056,463
0.261668,2770,3056,441
0.262868,2760,3069,443
0.264069,2753,3087,465
0.265269,2769,3102,451
0.286026,2748,3119,435
0.287227,2751,3142,434
0.288427,2768,3172,441
0.289628,2748,3173,431
0.290828,2758,3201,437
0.292028,2770,3209,445
0.293229,2779,3172,436
0.294429,2774,3156,455
0.295630,2816,3115,497
0.296830,2831,3155,487
0.298031,2802,3184,433
0.299231,2690,3200,331
0.300432,2657,3167,300
0.301632,2682,3102,324
0.302833,2713,3072,377
0.304033,2765,3036,429
0.305234,2755,3044,449
0.306434,2774,3037,489
0.307635,2768,3038,503
0.308835,2766,3037,488
0.343121,2773,3055,505
0.344322,2752,3053,499
0.345522,2753,3070,259
0.346722,2754,3067,470
0.347923,2758,3076,449
0.349123,2742,3083,447
0.350324,2755,3088,430
0.351524,2739,3115,442
0.352725,2758,3130,448
0.353925,2757,3146,440
0.355126,2752,3142,444
0.356326,2770,3157,449
0.357527,2770,3156,456
0.358727,2767,3156,462
0.359928,2767,3175,461
0.361128,2751,3182,453
0.362329,2759,3201,457
0.363529,2759,3186,467
0.364730,2767,3185,461
0.365930,2757,3188,480
0.379451,2755,3184,475
0.380652,2774,3175,474
0.381852,2759,3151,488
0.383053,2768,3142,493
0.384253,2763,3126,484
0.385454,2772,3108,478
0.386654,2777,3079,487
0.387855,2769,3058,463
0.389055,2777,3069,488
0.390256,2759,3044,472
0.391456,2763,3043,470
0.392657,2755,3029,483
0.393857,2757,3037,468
0.395058,2765,3028,479
